role,time spoken
student,1.800436
teacher,31.992845
teacher,18.128957
student,6.28814
teacher,30.512271
student,2.695673
teacher,9.616565
student,1.924697
teacher,16.612409
student,1.150825
teacher,23.235657
student,2.733502
teacher,7.639473
student,1.217429
teacher,6.272405
student,1.434922
teacher,8.858868
student,1.226241
teacher,2.099851
student,0.708323
teacher,5.841643
student,1.460908
teacher,11.319239
student,1.400094
teacher,30.179447
nobody,47.198949
teacher,34.949924
student,3.934337
teacher,2.823198
student,7.301831
teacher,0.630065
student,11.160009
teacher,1.570018
teacher,8.389797
student,31.59945
student,21.260032
teacher,31.74929
teacher_and_students,98.137522
teacher,92.315173
teacher_and_students,38.863055
teacher,1.351278
student,3.650239
teacher,15.689222
student,1.287184
teacher,31.026317
nobody,304.733373
teacher,18.70743
teacher,8.330245
nobody,125.771453
teacher,6.573281
nobody,138.406035
teacher,2.133129
nobody,7.05321
teacher,24.040154
student,2.099819
teacher,5.519076
teacher,25.981408
nobody,8.69682
teacher,47.748889
student,10.929461
teacher,2.507516
student,3.810326
teacher,2.77917
student,0.610358
teacher,18.11999
student,0.757472
student,5.507413
student,10.390898
teacher,29.386172
student,5.316497
total time,1530.65678
