role,time spoken
teacher,5.755114
student,9.444647
student,10.790099
student,3.382925
student,3.754367
student,6.746007
teacher,19.404837
student,5.204618
student,10.510689
teacher,14.234541
student,4.71665
teacher,7.40913
student,12.747865
teacher,6.985316
student,8.596502
teacher,5.147423
student,2.610471
student,6.739116
teacher,10.382752
student,5.417166
student,4.549739
student,8.630896
student,2.0525
student,2.512189
teacher,10.452589
student,3.470975
teacher,28.788017
student,3.803146
teacher,3.161135
student,1.48956
teacher,22.703377
student,3.285166
teacher,6.51277
student,7.907112
student,5.121889
student,12.984851
student,10.673422
teacher,32.468204
student,28.521195
teacher,8.603925
student,8.264643
student,1.947655
student,19.972255
student,28.659856
teacher,6.172872
student,9.287804
teacher,3.891673
teacher,4.371892
student,12.041862
student,7.457137
teacher,9.872844
student,45.107559
teacher,4.515793
student,18.162629
teacher,20.565518
student,14.750975
teacher,11.123242
student,6.639985
student,36.199542
teacher,23.175752
teacher,7.54523
nobody,142.346547
teacher,27.672297
nobody,62.857682
teacher,9.258485
student,2.57883
nobody,199.996834
teacher,74.873039
student,4.804369
teacher,5.865176
student,1.85813
teacher,13.925653
student,9.639328
student,14.461555
student,7.158043
student,7.18134
teacher,2.614689
student,4.500571
student,4.223447
student,6.654041
student,5.152265
student,14.030834
teacher,4.033123
student,1.703742
teacher,4.958177
student,2.401856
student,4.316541
student,3.725896
student,3.672945
student,8.256964
teacher,1.451423
student,12.726832
student,10.303754
student,9.231522
student,7.031151
student,1.911032
student,4.135122
student,3.245908
student,8.176118
student,10.315969
student,2.479789
student,3.166045
student,3.710776
teacher,19.365162
student,2.359739
teacher,5.224977
student,2.156677
student,13.162058
teacher,14.557189
student,8.551201
teacher,4.45022
student,12.498902
teacher,2.510688
student,2.412201
teacher,2.672365
student,19.071811
teacher,6.921502
student,3.262045
student,2.196708
student,2.781526
student,5.523143
student,7.250419
student,13.415876
teacher,2.009192
teacher,16.97115
student,5.760761
student,9.817907
teacher,12.912907
nobody,48.219172
teacher,28.387896
nobody,103.690294
teacher,30.010617
total time,1808.773615
